id,parent,name,emissions
2014,,2014,
2014-total,2014,total,314788.47
2015,,2015,
2015-total,2015,total,318525.03
2016,,2016,
2016-total,2016,total,314179.45
2017,,2017,
2017-total,2017,total,316563.05
2018,,2018,
2018-total,2018,total,320866.78
2019,,2019,
2019-total,2019,total,330358.21
2020,,2020,
2020-total,2020,total,323378.81
2021,,2021,
2021-total,2021,total,325705.28
2014-net,2014,net,64835.93
2015-net,2015,net,74492.91
2016-net,2016,net,98804.4
2017-net,2017,net,73193.32
2018-net,2018,net,79602.7
2019-net,2019,net,115643.68
2020-net,2020,net,
2021-net,2021,net,
2014-energy,2014,energy,255079.75
2015-energy,2015,energy,256850.16
2016-energy,2016,energy,253850.16
2017-energy,2017,energy,252710.49
2018-energy,2018,energy,255231.55
2019-energy,2019,energy,259326.11
2020-energy,2020,energy,
2021-energy,2021,energy,
2014-industrial_processes,2014,industrial_processes,20235.4
2015-industrial_processes,2015,industrial_processes,22243.93
2016-industrial_processes,2016,industrial_processes,23746.04
2017-industrial_processes,2017,industrial_processes,24203.62
2018-industrial_processes,2018,industrial_processes,26697.07
2019-industrial_processes,2019,industrial_processes,32853.8
2020-industrial_processes,2020,industrial_processes,
2021-industrial_processes,2021,industrial_processes,
2014-agriculture,2014,agriculture,11095.67
2015-agriculture,2015,agriculture,10647.03
2016-agriculture,2016,agriculture,10711.36
2017-agriculture,2017,agriculture,11063.54
2018-agriculture,2018,agriculture,10690.29
2019-agriculture,2019,agriculture,9921.71
2020-agriculture,2020,agriculture,
2021-agriculture,2021,agriculture,
2014-waste,2014,waste,28377.66
2015-waste,2015,waste,28783.91
2016-waste,2016,waste,26565.41
2017-waste,2017,waste,28585.4
2018-waste,2018,waste,28247.87
2019-waste,2019,waste,28256.59
2020-waste,2020,waste,
2021-waste,2021,waste,
